stamp,session,status,lat,lon,alt,cov_xx,cov_yy,cov_zz,x,y,z
1785472073.999730349,20260731_132539,2,36.843351900,128.093869000,297.8070,0.000441,0.000441,0.001600,116.3500,-24.6145,0.0000
1785472074.999730110,20260731_132539,2,36.843351600,128.093857100,297.7720,0.000361,0.000361,0.001444,115.2885,-24.6479,0.0000
1785472075.999730110,20260731_132539,2,36.843351200,128.093845500,297.7130,0.000576,0.000576,0.002209,114.2538,-24.6923,0.0000
1785472076.999730110,20260731_132539,2,36.843350800,128.093833700,297.6890,0.000324,0.000324,0.001156,113.2013,-24.7367,0.0000
1785472077.999730110,20260731_132539,2,36.843350500,128.093822600,297.6770,0.000361,0.000361,0.001296,112.2112,-24.7700,0.0000
1785472078.999730110,20260731_132539,2,36.843350100,128.093811000,297.6420,0.000400,0.000400,0.001521,111.1765,-24.8144,0.0000
1785472079.999729872,20260731_132539,2,36.843349600,128.093799700,297.6300,0.000361,0.000361,0.001521,110.1686,-24.8699,0.0000
1785472080.999729872,20260731_132539,2,36.843349200,128.093788400,297.5700,0.000256,0.000256,0.000900,109.1606,-24.9143,0.0000
1785472081.999729872,20260731_132539,2,36.843348600,128.093776700,297.5450,0.000225,0.000225,0.000676,108.1170,-24.9809,0.0000
1785472082.999729872,20260731_132539,2,36.843347800,128.093765100,297.5090,0.000196,0.000196,0.000676,107.0823,-25.0697,0.0000
1785472083.999729872,20260731_132539,2,36.843347200,128.093754700,297.4760,0.000225,0.000225,0.000784,106.1547,-25.1363,0.0000
1785472084.999729633,20260731_132539,2,36.843347200,128.093743300,297.4000,0.000196,0.000196,0.000784,105.1378,-25.1363,0.0000
1785472085.999729633,20260731_132539,2,36.843350400,128.093730800,297.4000,0.000225,0.000225,0.000841,104.0228,-24.7812,0.0000
1785472086.999729633,20260731_132539,2,36.843356400,128.093720000,297.3100,0.000225,0.000225,0.000784,103.0595,-24.1153,0.0000
1785472087.999729633,20260731_132539,2,36.843361400,128.093710300,297.2750,0.000225,0.000225,0.000729,102.1942,-23.5604,0.0000
