# timestamp[ns] lat[deg] lon[deg] ele[m] lat_stddev[m] lon_stddev[m] ele_stddev[m]
1776141343260622180 36.843875000 128.092677500 293.1130 0.014000 0.014000 0.021000
1776141343753222127 36.843873700 128.092677400 293.1260 0.014000 0.014000 0.016000
1776141344256227585 36.843872400 128.092677400 293.1180 0.014000 0.014000 0.017000
1776141344753200747 36.843870900 128.092677400 293.1390 0.014000 0.014000 0.017000
1776141345264788550 36.843869700 128.092677300 293.1470 0.014000 0.014000 0.018000
1776141345752087908 36.843868600 128.092677200 293.1530 0.014000 0.014000 0.015000
1776141346252144411 36.843867300 128.092677200 293.1450 0.014000 0.014000 0.016000
1776141346754121886 36.843866000 128.092677000 293.1250 0.014000 0.014000 0.017000
1776141347253266988 36.843864600 128.092677000 293.1530 0.014000 0.014000 0.019000
1776141347743194776 36.843863500 128.092676500 293.1440 0.014000 0.014000 0.019000
1776141348261159735 36.843862100 128.092676400 293.1960 0.014000 0.014000 0.016000
1776141348745703414 36.843860700 128.092676300 293.2200 0.014000 0.014000 0.017000
1776141349249600019 36.843859300 128.092676100 293.2070 0.014000 0.014000 0.016000
1776141349746630956 36.843858600 128.092676100 293.2140 0.014000 0.014000 0.015000
1776141350251592803 36.843858600 128.092676100 293.2140 0.014000 0.014000 0.014000
1776141350740144712 36.843858600 128.092676100 293.2120 0.014000 0.014000 0.013000
1776141351251843209 36.843858600 128.092676100 293.2190 0.014000 0.014000 0.013000
1776141351747713137 36.843858600 128.092676100 293.2140 0.014000 0.014000 0.013000
1776141352251110811 36.843858600 128.092676200 293.2080 0.014000 0.014000 0.013000
1776141352755691088 36.843858600 128.092676100 293.2090 0.014000 0.014000 0.013000
1776141353253165040 36.843858600 128.092676100 293.2250 0.014000 0.014000 0.012000
1776141353749616688 36.843858600 128.092676100 293.2130 0.014000 0.014000 0.013000
1776141354261120918 36.843858600 128.092676200 293.2240 0.014000 0.014000 0.013000
1776141354747125857 36.843858600 128.092676100 293.2150 0.014000 0.014000 0.013000
1776141355254208743 36.843858600 128.092676000 293.2020 0.014000 0.014000 0.013000
1776141355741707761 36.843858600 128.092676100 293.2100 0.014000 0.014000 0.013000
1776141356264289919 36.843858500 128.092676200 293.2090 0.014000 0.014000 0.013000
1776141356755165462 36.843857700 128.092676000 293.1920 0.014000 0.014000 0.013000
1776141357263648439 36.843856800 128.092675700 293.2060 0.014000 0.014000 0.015000
1776141357755166661 36.843855500 128.092675700 293.2780 0.014000 0.014000 0.016000
1776141358258705977 36.843854200 128.092675700 293.2900 0.014000 0.014000 0.016000
1776141358749108555 36.843853000 128.092675700 293.3190 0.014000 0.014000 0.017000
1776141359256613239 36.843851500 128.092675500 293.3450 0.014000 0.014000 0.016000
1776141359748695726 36.843850500 128.092675200 293.3550 0.014000 0.014000 0.018000
1776141360259588190 36.843849200 128.092675000 293.3370 0.014000 0.014000 0.017000
1776141360752626551 36.843847900 128.092674800 293.3560 0.014000 0.014000 0.016000
1776141361260705901 36.843846900 128.092674500 293.3170 0.014000 0.014000 0.016000
1776141361751099449 36.843845600 128.092674600 293.3590 0.014000 0.014000 0.016000
1776141362257671737 36.843844300 128.092674500 293.3840 0.014000 0.014000 0.016000
