# bag: /home/avg/Data/slam_data/Woraksan_test2/rosbag2_2026_07_31-13_38_33
# topic: /gnss_2/llh_position (frame_id=gnss_2_antenna_link)
# stamp: header, unit=seconds
# mode: llh -> x=lat y=lon z=alt
# stddev: sqrt(diag(position_covariance)), meters (x_stddev=north, y_stddev=east, z_stddev=up)
# stamp x y z x_stddev y_stddev z_stddev
1785472803.269999981 36.843981100 128.092666900 292.866000000 0.014000000 0.014000000 0.016000001
1785472803.779000044 36.843980900 128.092668700 292.872000000 0.014000000 0.014000000 0.017999999
1785472804.267999887 36.843980400 128.092670400 292.895000000 0.014000000 0.014000000 0.018999999
1785472804.759999990 36.843979800 128.092672100 292.869000000 0.014000000 0.014000000 0.017999999
1785472805.269999981 36.843978900 128.092673800 292.889000000 0.014000000 0.014000000 0.018999999
1785472805.763000011 36.843978100 128.092675600 292.880000000 0.017000001 0.017000001 0.030999999
1785472806.266000032 36.843977000 128.092677300 292.934000000 0.014000000 0.014000000 0.026000001
1785472806.755000114 36.843975500 128.092678600 292.913000000 0.014000000 0.014000000 0.028000001
1785472807.270999908 36.843973900 128.092679700 292.922000000 0.014000000 0.014000000 0.029999999
1785472807.776999950 36.843972200 128.092680900 292.960000000 0.016000001 0.016000001 0.039000001
1785472808.269999981 36.843970500 128.092681700 293.045000000 0.018999999 0.018999999 0.039000001
1785472808.763000011 36.843968700 128.092682200 293.042000000 0.024000000 0.024000000 0.050000001
1785472809.270999908 36.843967000 128.092683100 293.056000000 0.030999999 0.030999999 0.059999999
1785472809.762000084 36.843965000 128.092683700 293.120000000 0.032000002 0.032000002 0.064999998
1785472810.266999960 36.843963400 128.092683900 293.133000000 0.017999999 0.017999999 0.041999999
1785472810.765000105 36.843962200 128.092684000 293.068000000 0.022000000 0.022000000 0.048999999
1785472811.276000023 36.843960900 128.092683900 293.129000000 0.020000000 0.020000000 0.041000001
1785472811.780999899 36.843960700 128.092683900 293.123000000 0.020000000 0.020000000 0.041000001
1785472812.279000044 36.843960700 128.092684000 293.112000000 0.014000000 0.014000000 0.033000000
1785472812.769000053 36.843960700 128.092683900 293.101000000 0.015000000 0.015000000 0.034000002
1785472813.276999950 36.843960500 128.092683600 292.955000000 0.014000000 0.014000000 0.017999999
1785472813.773000002 36.843960500 128.092683600 292.946000000 0.014000000 0.014000000 0.017000001
1785472814.272000074 36.843960600 128.092683600 292.955000000 0.014000000 0.014000000 0.017999999
1785472814.755000114 36.843960500 128.092683500 292.949000000 0.014000000 0.014000000 0.017999999
1785472815.273000002 36.843960500 128.092683500 292.969000000 0.014000000 0.014000000 0.018999999
1785472815.769999981 36.843960300 128.092683500 292.965000000 0.014000000 0.014000000 0.018999999
1785472816.288000107 36.843959400 128.092683600 292.962000000 0.014000000 0.014000000 0.017999999
1785472816.769000053 36.843958300 128.092683700 292.990000000 0.014000000 0.014000000 0.018999999
1785472817.279999971 36.843956800 128.092684100 292.999000000 0.014000000 0.014000000 0.017000001
1785472817.767999887 36.843955200 128.092684200 292.993000000 0.014000000 0.014000000 0.017000001
1785472818.276999950 36.843953600 128.092684400 293.008000000 0.014000000 0.014000000 0.015000000
1785472818.767999887 36.843952300 128.092684700 292.974000000 0.014000000 0.014000000 0.015000000
1785472819.266999960 36.843950800 128.092684700 292.963000000 0.014000000 0.014000000 0.014000000
1785472819.779999971 36.843949500 128.092684600 292.999000000 0.014000000 0.014000000 0.015000000
1785472820.285000086 36.843947700 128.092684400 293.001000000 0.014000000 0.014000000 0.020000000
1785472820.767999887 36.843945000 128.092684400 292.966000000 0.015000000 0.015000000 0.021000000
1785472821.279999971 36.843942500 128.092684300 292.999000000 0.016000001 0.016000001 0.039999999
1785472821.775000095 36.843940400 128.092684300 293.013000000 0.021000000 0.021000000 0.039999999
1785472822.269999981 36.843937700 128.092684200 293.109000000 0.015000000 0.015000000 0.035000000
1785472822.763999939 36.843935200 128.092683800 293.151000000 0.015000000 0.015000000 0.035000000
1785472823.266999960 36.843932500 128.092683600 293.101000000 0.015000000 0.015000000 0.028000001
1785472823.763999939 36.843929900 128.092683500 293.121000000 0.017000001 0.017000001 0.028000001
1785472824.275000095 36.843927400 128.092683300 293.155000000 0.014000000 0.014000000 0.029999999
1785472824.762000084 36.843925100 128.092683100 293.103000000 0.016000001 0.016000001 0.030999999
1785472825.269999981 36.843922500 128.092682700 293.061000000 0.014000000 0.014000000 0.029999999
1785472825.766999960 36.843920000 128.092682600 293.029000000 0.015000000 0.015000000 0.030999999
1785472826.273999929 36.843917300 128.092682200 293.055000000 0.020000000 0.020000000 0.039000001
1785472826.763999939 36.843915000 128.092681800 293.014000000 0.021000000 0.021000000 0.046999998
1785472827.272000074 36.843912400 128.092681700 293.005000000 0.020000000 0.020000000 0.041000001
1785472827.766999960 36.843909700 128.092681400 293.031000000 0.017999999 0.017999999 0.037999999
1785472828.267999887 36.843906800 128.092680800 293.080000000 0.015000000 0.015000000 0.030999999
1785472828.765000105 36.843904100 128.092680400 293.002000000 0.014000000 0.014000000 0.028999999
1785472829.275000095 36.843901100 128.092680000 293.030000000 0.014000000 0.014000000 0.021000000
1785472829.773000002 36.843898200 128.092679700 293.062000000 0.014000000 0.014000000 0.024000000
1785472830.273000002 36.843895400 128.092679700 293.044000000 0.014000000 0.014000000 0.024000000
1785472830.773000002 36.843892700 128.092679500 293.028000000 0.014000000 0.014000000 0.024000000
1785472831.278000116 36.843890000 128.092679400 293.050000000 0.014000000 0.014000000 0.022000000
1785472831.767999887 36.843887400 128.092679300 293.060000000 0.014000000 0.014000000 0.025000000
1785472832.278000116 36.843884900 128.092679400 293.091000000 0.014000000 0.014000000 0.025000000
1785472832.765000105 36.843882200 128.092679200 293.075000000 0.014000000 0.014000000 0.027000001
1785472833.282000065 36.843879700 128.092679000 292.997000000 0.014000000 0.014000000 0.024000000
1785472833.772000074 36.843877300 128.092678800 293.045000000 0.014000000 0.014000000 0.025000000
1785472834.289999962 36.843874500 128.092678500 293.051000000 0.014000000 0.014000000 0.020000000
1785472834.769999981 36.843871800 128.092678200 293.037000000 0.014000000 0.014000000 0.022000000
1785472835.280999899 36.843869500 128.092677800 293.122000000 0.014000000 0.014000000 0.022000000
1785472835.772000074 36.843867200 128.092677600 293.122000000 0.014000000 0.014000000 0.022000000
1785472836.283999920 36.843864700 128.092677300 293.148000000 0.014000000 0.014000000 0.020000000
1785472836.770999908 36.843862300 128.092677000 293.125000000 0.014000000 0.014000000 0.020000000
1785472837.272000074 36.843859600 128.092676700 293.128000000 0.014000000 0.014000000 0.018999999
1785472837.789000034 36.843856600 128.092676500 293.245000000 0.014000000 0.014000000 0.021000000
1785472838.282000065 36.843853900 128.092676100 293.229000000 0.014000000 0.014000000 0.023000000
1785472838.769999981 36.843851100 128.092675800 293.240000000 0.014000000 0.014000000 0.022000000
1785472839.279999971 36.843848800 128.092675500 293.237000000 0.014000000 0.014000000 0.020000000
1785472839.789000034 36.843846400 128.092675300 293.297000000 0.014000000 0.014000000 0.024000000
1785472840.282000065 36.843843900 128.092674900 293.305000000 0.014000000 0.014000000 0.021000000
1785472840.772000074 36.843841200 128.092674400 293.362000000 0.014000000 0.014000000 0.021000000
1785472841.282000065 36.843838500 128.092674100 293.467000000 0.014000000 0.014000000 0.017000001
1785472841.773000002 36.843836200 128.092674100 293.498000000 0.014000000 0.014000000 0.026000001
1785472842.282000065 36.843833600 128.092674000 293.571000000 0.014000000 0.014000000 0.023000000
1785472842.772000074 36.843831100 128.092673700 293.602000000 0.014000000 0.014000000 0.021000000
1785472843.273999929 36.843828600 128.092673600 293.663000000 0.014000000 0.014000000 0.018999999
1785472843.769999981 36.843825900 128.092673300 293.712000000 0.014000000 0.014000000 0.018999999
1785472844.283999920 36.843823400 128.092673500 293.789000000 0.014000000 0.014000000 0.018999999
1785472844.757999897 36.843820800 128.092673600 293.870000000 0.014000000 0.014000000 0.022000000
1785472845.273999929 36.843818500 128.092673600 293.868000000 0.014000000 0.014000000 0.020000000
1785472845.763999939 36.843815900 128.092673800 293.935000000 0.014000000 0.014000000 0.020000000
1785472846.263000011 36.843813400 128.092673500 293.913000000 0.014000000 0.014000000 0.017999999
1785472846.759000063 36.843810900 128.092674000 293.991000000 0.014000000 0.014000000 0.017000001
1785472847.266999960 36.843808300 128.092674300 294.046000000 0.014000000 0.014000000 0.017000001
1785472847.756999969 36.843805700 128.092674700 294.131000000 0.014000000 0.014000000 0.024000000
1785472848.275000095 36.843803200 128.092674800 294.139000000 0.014000000 0.014000000 0.028000001
1785472848.778000116 36.843800300 128.092674900 294.182000000 0.014000000 0.014000000 0.028999999
1785472849.275000095 36.843797500 128.092675400 294.306000000 0.014000000 0.014000000 0.021000000
1785472849.762000084 36.843794700 128.092675500 294.300000000 0.014000000 0.014000000 0.021000000
1785472850.269999981 36.843791600 128.092676300 294.364000000 0.014000000 0.014000000 0.017999999
1785472850.757999897 36.843788600 128.092677000 294.407000000 0.014000000 0.014000000 0.021000000
1785472851.275000095 36.843785300 128.092677800 294.419000000 0.014000000 0.014000000 0.020000000
1785472851.778000116 36.843782400 128.092678700 294.462000000 0.014000000 0.014000000 0.021000000
1785472852.276000023 36.843781800 128.092678900 294.462000000 0.014000000 0.014000000 0.020000000
1785472852.765000105 36.843781800 128.092679000 294.487000000 0.014000000 0.014000000 0.020000000
1785472853.273000002 36.843781800 128.092679100 294.482000000 0.014000000 0.014000000 0.017999999
1785472853.765000105 36.843781800 128.092679000 294.473000000 0.014000000 0.014000000 0.017999999
1785472854.273999929 36.843781800 128.092679000 294.478000000 0.014000000 0.014000000 0.016000001
1785472854.763999939 36.843781700 128.092679000 294.478000000 0.014000000 0.014000000 0.016000001
1785472855.269999981 36.843781000 128.092679200 294.504000000 0.014000000 0.014000000 0.016000001
1785472855.785000086 36.843780100 128.092679600 294.516000000 0.014000000 0.014000000 0.016000001
1785472856.275000095 36.843778900 128.092679900 294.489000000 0.014000000 0.014000000 0.015000000
1785472856.767999887 36.843777500 128.092680400 294.537000000 0.014000000 0.014000000 0.015000000
1785472857.276000023 36.843775800 128.092680900 294.570000000 0.014000000 0.014000000 0.016000001
1785472857.766000032 36.843774300 128.092681300 294.559000000 0.014000000 0.014000000 0.016000001
1785472858.278000116 36.843772600 128.092681800 294.566000000 0.014000000 0.014000000 0.015000000
1785472858.776999950 36.843771100 128.092682300 294.570000000 0.014000000 0.014000000 0.016000001
1785472859.286000013 36.843769600 128.092682900 294.569000000 0.014000000 0.014000000 0.016000001
1785472859.766999960 36.843768000 128.092683600 294.587000000 0.014000000 0.014000000 0.017999999
1785472860.290999889 36.843766500 128.092684300 294.631000000 0.014000000 0.014000000 0.017000001
